"LIBNAME","Period_ID","POPU_LSA","b1_visits_per_cap","b2_physmatcir_per_cap","b3_elmatcir_per_cap","b4_physmat_turnover_NOT_per_cap","b5_elmat_turnover_NOT_per_cap","b6_internet_term_per_cap","b7_wifi_per_cap","b8_attend_per_cap","b9_loc_op_exp_per_cap","b10_pct_budget_coll_NOT_per_cap","b11_FTE_per_cap","b12_n_program_per_cap","b1_act_n","b2_act_n","b3_act_n","b4_act_n","b5_act_n","b6_act_n","b7_act_n","b8_act_n","b9_act_n","b10_act_n","b11_act_n","b12_act_n","b1_act_viz","b2_act_viz","b3_act_viz","b4_act_viz","b5_act_viz","b6_act_viz","b7_act_viz","b8_act_viz","b9_act_viz","b10_act_viz","b11_act_viz","b12_act_viz","b1_visits_pc_viz","b2_physmatcir_pc_viz","b3_elmatcir_pc_viz","b4_physmat_turnover_NOT_pc_viz","b5_elmat_turnover_NOT_pc_viz","b6_internet_term_pc_viz","b7_wifi_pc_viz","b8_attend_pc_viz","b9_loc_op_exp_pc_viz","b10_pct_budget_coll_NOT_pc_viz","b11_FTE_pc_viz","b12_n_program_pc_viz","b1_pctl","b2_pctl","b3_pctl","b4_pctl","b5_pctl","b6_pctl","b7_pctl","b8_pctl","b9_pctl","b10_pctl","b11_pctl","b12_pctl"
"American Fork City Library",2016," 28,326",8.37110781614065,9.35218527148203,0.904257572548189,3.15035260259963,474.333333333333,0.362776247970063,0.314622608204476,0.376897549954106,31.1207371319636,10.3151122143979,0.000419402668926075,0.0126032620207583,237120,264910,25614,3.15,474.33,10276,8912,10676,881526,10.32,11.88,357,"237,120","264,910","25,614","3.15","474.33","10,276","8,912","10,676","$881,526","10.32%","11.88","357","8.37","9.35","0.9","3.15","474.33","0.36","0.31","0.38","$31.12","10.32%","0.000419","0.0126",0.818181818181818,0.482142857142857,0.803571428571429,0.625,0.732142857142857,0.0925925925925926,0.552631578947368,0.285714285714286,0.642857142857143,0.285714285714286,0.392857142857143,0.285714285714286
"American Fork City Library",2017," 28,770",5.67320125130344,9.44758428919013,1.41067083767814,3.34079400196657,724.732142857143,0.401251303441084,0.24400417101147,0.364059784497741,31.8663885992353,10.7004808333118,0.000417101147028154,0.013416753562739,163218,271807,40585,3.34,724.73,11544,7020,10474,916796,10.7,12,386,"163,218","271,807","40,585","3.34","724.73","11,544","7,020","10,474","$916,796","10.7%","12","386","5.67","9.45","1.41","3.34","724.73","0.4","0.24","0.36","$31.87","10.7%","0.000417","0.0134",0.553571428571429,0.620689655172414,0.827586206896552,0.689655172413793,0.810344827586207,0.160714285714286,0.4,0.224137931034483,0.689655172413793,0.344827586206897,0.396551724137931,0.275862068965517
"American Fork City Library",2018," 29,527",5.82764927015952,9.55681240898161,1.8406204490805,3.20853231454951,970.5,0.422664002438446,0.246926541809192,0.554001422426931,31.7646222101805,12.500037476727,0.000413181156229891,0.0164256443255326,172073,282184,54348,3.21,970.5,12480,7291,16358,937914,12.5,12.2,485,"172,073","282,184","54,348","3.21","970.5","12,480","7,291","16,358","$937,914","12.5%","12.2","485","5.83","9.56","1.84","3.21","970.5","0.42","0.25","0.55","$31.76","12.5%","0.000413","0.0164",0.618181818181818,0.672413793103448,0.896551724137931,0.689655172413793,0.810344827586207,0.228070175438596,0.315789473684211,0.43859649122807,0.637931034482759,0.508771929824561,0.344827586206897,0.403508771929825
"American Fork City Library",2019," 32,519",6.00550447430733,9.50422829730311,2.45155140071958,3.85107469939568,1398.63157894737,0.392170730957286,1.04197546050002,0.816076755127771,28.0956671484363,11.7893235786472,0.000375165287985485,0.0246010024908515,195293,309068,79722,3.85,1398.63,12753,33884,26538,913643,11.79,12.2,800,"195,293","309,068","79,722","3.85","1,398.63","12,753","33,884","26,538","$913,643","11.79%","12.2","800","6.01","9.5","2.45","3.85","1,398.63","0.39","1.04","0.82","$28.1","11.79%","0.000375","0.0246",0.69811320754717,0.649122807017544,0.844827586206897,0.771929824561403,0.844827586206897,0.228070175438596,0.642857142857143,0.655172413793103,0.473684210526316,0.491228070175439,0.310344827586207,0.53448275862069
"American Fork City Library",2020," 33,161",4.47646331534031,8.05216971743916,3.09544344259823,3.16585845891182,1866.32727272727,0.233587648140888,0.73550254817406,0.5320104942553,28.4701305750731,11.8276617730011,0.000367902053617201,0.00971020174301137,148444,267018,102648,3.17,1866.33,7746,24390,17642,944098,11.83,12.2,322,"148,444","267,018","102,648","3.17","1,866.33","7,746","24,390","17,642","$944,098","11.83%","12.2","322","4.48","8.05","3.1","3.17","1,866.33","0.23","0.74","0.53","$28.47","11.83%","0.000368","0.0097",0.821428571428571,0.741379310344828,0.879310344827586,0.827586206896552,0.896551724137931,0.293103448275862,0.666666666666667,0.637931034482759,0.517241379310345,0.568965517241379,0.293103448275862,0.310344827586207
"American Fork City Library",2021," 33,337",3.5489996100429,9.90311065782764,3.51357350691424,3.9202973412656,2091.64285714286,0.154782973872874,1.7685454599994,0.170021297657258,24.1062483126856,13.3382493024403,0.000365959744428113,0.00659927407985122,118313,330140,117132,3.92,2091.64,5160,58958,5668,803630,13.34,12.2,220,"118,313","330,140","117,132","3.92","2,091.64","5,160","58,958","5,668","$803,630","13.34%","12.2","220","3.55","9.9","3.51","3.92","2,091.64","0.15","1.77","0.17","$24.11","13.34%","0.000366","0.0066",0.684210526315789,0.793103448275862,0.827586206896552,0.862068965517241,0.862068965517241,0.396551724137931,0.772727272727273,0.482758620689655,0.344827586206897,0.551724137931034,0.327586206896552,0.482758620689655
"American Fork City Library",2022," 34,422",6.17055952588461,10.2942304340248,3.79954680146418,4.069317163922,2335.5,0.208355121724479,0.986142583231654,0.29550868630527,29.4436697460926,13.2264977909724,0.000354424495961885,0.0161815118238336,212403,354348,130788,4.07,2335.5,7172,33945,10172,1013510,13.23,12.2,557,"212,403","354,348","130,788","4.07","2,335.5","7,172","33,945","10,172","$1,013,510","13.23%","12.2","557","6.17","10.29","3.8","4.07","2,335.5","0.21","0.99","0.3","$29.44","13.23%","0.000354","0.0162",0.842105263157895,0.758620689655172,0.844827586206897,0.827586206896552,0.862068965517241,0.413793103448276,0.565217391304348,0.275862068965517,0.431034482758621,0.517241379310345,0.293103448275862,0.517241379310345
"American Fork City Library",2023," 37,268",6.16083503273586,9.76325533970162,4.16700654717184,3.89543498276342,2677.51724137931,0.187936030911238,0.822689706987228,0.750939143501127,30.0784587313513,10.3008309563813,0.000337555006976495,0.0177095631641086,229602,363857,155296,3.9,2677.52,7004,30660,27986,1120964,10.3,12.58,660,"229,602","363,857","155,296","3.9","2,677.52","7,004","30,660","27,986","$1,120,964","10.3%","12.58","660","6.16","9.76","4.17","3.9","2,677.52","0.19","0.82","0.75","$30.08","10.3%","0.000338","0.0177",0.827586206896552,0.706896551724138,0.827586206896552,0.827586206896552,0.827586206896552,0.379310344827586,0.5,0.714285714285714,0.431034482758621,0.431034482758621,0.241379310344828,0.482758620689655
"American Fork City Library",2024," 38,549",6.426859321902,9.7721601079146,4.78987781784223,4.2794483510741,Inf,0.193338348595294,1.00378738748087,0.955952164777296,30.752444940206,9.82147331590992,0.00036317414200109,0.0185478222521985,247749,376707,184645,4.28,Inf,7453,38695,36851,1185476,9.82,14,715,"247,749","376,707","184,645","4.28","Inf","7,453","38,695","36,851","$1,185,476","9.82%","14","715","6.43","9.77","4.79","4.28","Inf","0.19","1","0.96","$30.75","9.82%","0.000363","0.0185",0.827586206896552,0.741379310344828,0.793103448275862,0.862068965517241,0.0714285714285714,0.333333333333333,0.571428571428571,0.741379310344828,0.344827586206897,0.448275862068966,0.275862068965517,0.379310344827586
"American Fork City Library",2025," 41,298",6.60438762167659,9.70732238849339,5.00452806431304,4.42877817057004,Inf,0.212964308198944,0.830790837328684,1.09966584338225,29.248777180493,11.2717640522416,0.000387427962613202,0.0228582497941789,272748,400893,206677,4.43,Inf,8795,34310,45414,1207916,11.27,16,944,"272,748","400,893","206,677","4.43","Inf","8,795","34,310","45,414","$1,207,916","11.27%","16","944","6.6","9.71","5","4.43","Inf","0.21","0.83","1.1","$29.25","11.27%","0.000387","0.0229",0.844827586206897,0.796610169491525,0.796610169491525,0.847457627118644,0,0.389830508474576,0.54,0.76271186440678,0.322033898305085,0.593220338983051,0.288135593220339,0.440677966101695
"Beaver Public Library",2016,"  3,007",4.57000332557366,15.4506152311274,0.751579647489192,2.38231976207568,42.6415094339623,0.566012637179914,0.503159294978384,0.754905221150649,46.8456933821084,10.1266763503699,0.000771533089457931,0.0522115064848686,13742,46460,2260,2.38,42.64,1702,1513,2270,140865,10.13,2.32,157,"13,742","46,460","2,260","2.38","42.64","1,702","1,513","2,270","$140,865","10.13%","2.32","157","4.57","15.45","0.75","2.38","42.64","0.57","0.5","0.75","$46.85","10.13%","0.000772","0.0522",0.272727272727273,0.857142857142857,0.625,0.482142857142857,0.232142857142857,0.259259259259259,0.657894736842105,0.660714285714286,0.857142857142857,0.214285714285714,0.821428571428571,0.839285714285714
"Beaver Public Library",2017,"  3,723",3.18640881009938,6.07037335482138,0.724147193123825,1.17390400997299,49.0181818181818,0.356701584743486,0.408541498791297,0.409347300564061,34.9151222132689,9.87550173481189,0.000623153370937416,0.0257856567284448,11863,22600,2696,1.17,49.02,1328,1521,1524,129989,9.88,2.32,96,"11,863","22,600","2,696","1.17","49.02","1,328","1,521","1,524","$129,989","9.88%","2.32","96","3.19","6.07","0.72","1.17","49.02","0.36","0.41","0.41","$34.92","9.88%","0.000623","0.0258",0.0535714285714286,0.224137931034483,0.258620689655172,0.241379310344828,0.206896551724138,0.142857142857143,0.55,0.327586206896552,0.758620689655172,0.275862068965517,0.689655172413793,0.655172413793103
"Beaver Public Library",2018,"  3,654",3.61877394636015,5.71455938697318,0.84263820470717,1.1456710194228,55.9818181818182,0.412424740010947,0.398467432950192,0.801587301587302,42.5303776683087,11.5599420454968,0.000634920634920635,0.0292829775588396,13223,20881,3079,1.15,55.98,1507,1456,2929,155406,11.56,2.32,107,"13,223","20,881","3,079","1.15","55.98","1,507","1,456","2,929","$155,406","11.56%","2.32","107","3.62","5.71","0.84","1.15","55.98","0.41","0.4","0.8","$42.53","11.56%","0.000635","0.0293",0.127272727272727,0.206896551724138,0.224137931034483,0.258620689655172,0.206896551724138,0.192982456140351,0.473684210526316,0.666666666666667,0.862068965517241,0.456140350877193,0.706896551724138,0.631578947368421
